,Date,Corona cases,Steam users
268,2020-09-27,33570370,21973839.0
269,2020-09-28,33862940,21374870.0
270,2020-09-29,34119501,21538764.0
271,2020-09-30,34406943,21637362.0
272,2020-10-01,34737955,21362935.0
273,2020-10-02,35068298,21718377.0
274,2020-10-03,35388033,21875795.0
275,2020-10-04,35720700,22321254.0
276,2020-10-05,36026812,21722841.0
277,2020-10-06,36304734,21748690.0
278,2020-10-07,36622365,21922218.0
279,2020-10-08,37000765,21523320.0
280,2020-10-09,37356507,21795165.0
281,2020-10-10,37718934,22254611.0
282,2020-10-11,38096992,22497651.0
283,2020-10-12,38432389,21595617.0
284,2020-10-13,38750538,21928908.0
285,2020-10-14,39104202,21485533.0
286,2020-10-15,39489720,21000223.0
287,2020-10-16,39888578,21714983.0
288,2020-10-17,40286356,22020884.0
289,2020-10-18,40711881,22159555.0
290,2020-10-19,41092810,21563449.0
291,2020-10-20,41456746,21246099.0
292,2020-10-21,41899410,21610583.0
293,2020-10-22,42379898,21576415.0
294,2020-10-23,42854622,22114708.0
295,2020-10-24,43320277,22012912.0
296,2020-10-25,43831339,21955183.0
297,2020-10-26,44284353,21694693.0
298,2020-10-27,44708925,21721307.0
299,2020-10-28,45214751,21714679.0
300,2020-10-29,45756663,21699024.0
301,2020-10-30,46290106,23069465.0
302,2020-10-31,46808276,23194519.0
303,2020-11-01,47364676,23213197.0
304,2020-11-02,47853898,22249884.0
305,2020-11-03,48374885,21990950.0
306,2020-11-04,48897497,22372288.0
307,2020-11-05,49467016,22212210.0
308,2020-11-06,50042804,22795039.0
309,2020-11-07,50615198,23376479.0
310,2020-11-08,51172643,23337495.0
311,2020-11-09,51701571,22327665.0
312,2020-11-10,52159011,22528093.0
313,2020-11-11,52725118,21972443.0
314,2020-11-12,53336219,21534695.0
315,2020-11-13,53975404,22136117.0
316,2020-11-14,54591074,22631357.0
317,2020-11-15,55209757,22823699.0
318,2020-11-16,55757062,21828793.0
319,2020-11-17,56247587,21887650.0
320,2020-11-18,56800432,22035296.0
321,2020-11-19,57428803,22024656.0
322,2020-11-20,58055297,22596011.0
323,2020-11-21,58685272,23106822.0
324,2020-11-22,59311334,23195287.0
325,2020-11-23,59854922,22075905.0
326,2020-11-24,60343470,22053828.0
327,2020-11-25,60896681,21917647.0
328,2020-11-26,61505341,22214139.0
329,2020-11-27,62166124,22991526.0
330,2020-11-28,62754737,23840741.0
331,2020-11-29,63341041,23934501.0
332,2020-11-30,63867804,23119086.0
333,2020-12-01,64358604,23603118.0
334,2020-12-02,64908579,23631859.0
335,2020-12-03,65556747,23387266.0
336,2020-12-04,66226921,24034994.0
337,2020-12-05,66891986,24458853.0
338,2020-12-06,67546675,24453061.0
339,2020-12-07,68120273,23549090.0
340,2020-12-08,68645219,23327364.0
341,2020-12-09,69230883,23395000.0
342,2020-12-10,69912050,23700159.0
343,2020-12-11,70594847,23917204.0
